% This is data set is concerned with the forward kinematics of an 8 link
% robot arm. Among the existing variants of this data set we have used
% the variant 8nm, which is known to be highly non-linear and medium
% noisy.
% 
% Original source: DELVE repository of data. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 8192 cases, 9 attributes (0 nominal, 9 continuous). 
@relation kin8nm
@attribute theta1 {<=-1.1603,(-1.1603;-0.7714],(-0.7714;-0.3700],(-0.3700;-0.0020],(-0.0020;0.40672],(0.40672;0.79114],(0.79114;1.19013],>1.19013}
@attribute theta2 {<=-1.1748,(-1.1748;-0.7783],(-0.7783;-0.4038],(-0.4038;-0.0152],(-0.0152;0.37491],(0.37491;0.77912],(0.77912;1.16282],>1.16282}
@attribute theta3 {<=-1.1576,(-1.1576;-0.7498],(-0.7498;-0.3595],(-0.3595;0.04127],(0.04127;0.42472],(0.42472;0.79231],(0.79231;1.18567],>1.18567}
@attribute theta4 {<=-1.1817,(-1.1817;-0.7807],(-0.7807;-0.4043],(-0.4043;-0.0137],(-0.0137;0.38012],(0.38012;0.76013],(0.76013;1.15350],>1.15350}
@attribute theta5 {<=-1.1814,(-1.1814;-0.7707],(-0.7707;-0.3795],(-0.3795;0.00948],(0.00948;0.39702],(0.39702;0.79116],(0.79116;1.18320],>1.18320}
@attribute theta6 {<=-1.1967,(-1.1967;-0.8022],(-0.8022;-0.4033],(-0.4033;-0.0038],(-0.0038;0.38144],(0.38144;0.78158],(0.78158;1.17947],>1.17947}
@attribute theta7 {<=-1.1691,(-1.1691;-0.7779],(-0.7779;-0.3790],(-0.3790;0.00127],(0.00127;0.40484],(0.40484;0.79799],(0.79799;1.20075],>1.20075}
@attribute theta8 {<=-1.1758,(-1.1758;-0.7777],(-0.7777;-0.3996],(-0.3996;0.00189],(0.00189;0.39851],(0.39851;0.78081],(0.78081;1.17761],>1.17761}
@attribute class {<=0.47555,(0.47555;0.63831],(0.63831;0.78018],(0.78018;0.95069],>0.95069}

@data
(-1.1603;-0.7714],(0.37491;0.77912],(-1.1576;-0.7498],(-1.1817;-0.7807],(-0.7707;-0.3795],(0.38144;0.78158],(0.79799;1.20075],(-0.3996;0.00189],(0.78018;0.95069]
<=-1.1603,(-0.7783;-0.4038],(0.42472;0.79231],>1.15350,(-0.3795;0.00948],(-0.8022;-0.4033],(-1.1691;-0.7779],(-0.3996;0.00189],>0.95069
(0.40672;0.79114],(-1.1748;-0.7783],(0.42472;0.79231],(0.38012;0.76013],(0.39702;0.79116],<=-1.1967,(-1.1691;-0.7779],(-0.3996;0.00189],(0.63831;0.78018]
(-0.0020;0.40672],(-1.1748;-0.7783],>1.18567,(-0.4043;-0.0137],>1.18320,(-1.1967;-0.8022],(0.79799;1.20075],(-0.3996;0.00189],(0.47555;0.63831]
<=-1.1603,<=-1.1748,(0.42472;0.79231],<=-1.1817,(-1.1814;-0.7707],<=-1.1967,(-0.3790;0.00127],(-0.3996;0.00189],<=0.47555
(-0.0020;0.40672],(-0.0152;0.37491],<=-1.1576,(0.76013;1.15350],(0.00948;0.39702],(0.38144;0.78158],(-1.1691;-0.7779],(-0.3996;0.00189],(0.78018;0.95069]
<=-1.1603,(-0.4038;-0.0152],(0.04127;0.42472],(0.38012;0.76013],(-0.3795;0.00948],<=-1.1967,(0.79799;1.20075],(-0.3996;0.00189],(0.78018;0.95069]
(-0.3700;-0.0020],<=-1.1748,(0.04127;0.42472],(-1.1817;-0.7807],(0.79116;1.18320],(-1.1967;-0.8022],(0.79799;1.20075],(-0.3996;0.00189],>0.95069
<=-1.1603,<=-1.1748,(-0.3595;0.04127],(0.76013;1.15350],(0.79116;1.18320],(-0.4033;-0.0038],(-1.1691;-0.7779],(-0.3996;0.00189],>0.95069
(-0.3700;-0.0020],(0.37491;0.77912],<=-1.1576,>1.15350,<=-1.1814,>1.17947,(0.00127;0.40484],(-0.3996;0.00189],>0.95069
(0.79114;1.19013],(-0.4038;-0.0152],(0.42472;0.79231],>1.15350,(0.00948;0.39702],<=-1.1967,(-0.7779;-0.3790],(-0.3996;0.00189],(0.63831;0.78018]
(-0.7714;-0.3700],(0.37491;0.77912],(-0.7498;-0.3595],<=-1.1817,(-1.1814;-0.7707],(-0.8022;-0.4033],>1.20075,(-0.3996;0.00189],(0.78018;0.95069]
>1.19013,(-1.1748;-0.7783],<=-1.1576,>1.15350,(0.39702;0.79116],(-0.0038;0.38144],(0.79799;1.20075],(-0.3996;0.00189],>0.95069
(-1.1603;-0.7714],>1.16282,(-0.3595;0.04127],(0.76013;1.15350],(0.79116;1.18320],(-0.8022;-0.4033],>1.20075,(-0.3996;0.00189],(0.47555;0.63831]
>1.19013,>1.16282,>1.18567,(-0.7807;-0.4043],>1.18320,(-0.8022;-0.4033],(0.40484;0.79799],(-0.3996;0.00189],(0.63831;0.78018]
<=-1.1603,<=-1.1748,(-0.3595;0.04127],(-0.7807;-0.4043],<=-1.1814,(-1.1967;-0.8022],(-0.3790;0.00127],(-0.3996;0.00189],(0.63831;0.78018]
(-0.0020;0.40672],(-0.7783;-0.4038],<=-1.1576,(-0.4043;-0.0137],(-0.7707;-0.3795],(0.78158;1.17947],(0.40484;0.79799],(-0.3996;0.00189],(0.78018;0.95069]
>1.19013,(0.37491;0.77912],<=-1.1576,(0.76013;1.15350],<=-1.1814,(-0.4033;-0.0038],(0.40484;0.79799],(-0.3996;0.00189],<=0.47555
<=-1.1603,(0.37491;0.77912],(0.79231;1.18567],(0.38012;0.76013],(0.79116;1.18320],(-0.4033;-0.0038],(-1.1691;-0.7779],(-0.3996;0.00189],(0.63831;0.78018]
>1.19013,(0.77912;1.16282],(-0.3595;0.04127],(-1.1817;-0.7807],(0.79116;1.18320],(0.78158;1.17947],(0.00127;0.40484],(-0.3996;0.00189],>0.95069
(-0.0020;0.40672],(-0.7783;-0.4038],(0.79231;1.18567],(-0.7807;-0.4043],>1.18320,(-0.8022;-0.4033],<=-1.1691,(-0.3996;0.00189],(0.47555;0.63831]
(0.79114;1.19013],>1.16282,(-0.7498;-0.3595],(-0.0137;0.38012],(0.00948;0.39702],(-0.0038;0.38144],(-1.1691;-0.7779],(-0.3996;0.00189],>0.95069
>1.19013,(-1.1748;-0.7783],(0.04127;0.42472],>1.15350,(-0.3795;0.00948],<=-1.1967,<=-1.1691,(-0.3996;0.00189],(0.78018;0.95069]
(-0.0020;0.40672],(0.77912;1.16282],(-0.3595;0.04127],(-1.1817;-0.7807],(-0.7707;-0.3795],(-1.1967;-0.8022],(0.40484;0.79799],(-0.3996;0.00189],(0.63831;0.78018]
(0.40672;0.79114],(-0.0152;0.37491],(0.42472;0.79231],(-1.1817;-0.7807],(-0.3795;0.00948],<=-1.1967,(0.00127;0.40484],(-0.3996;0.00189],(0.47555;0.63831]
(-0.7714;-0.3700],(-1.1748;-0.7783],(-0.3595;0.04127],<=-1.1817,(0.79116;1.18320],(-1.1967;-0.8022],(-1.1691;-0.7779],(-0.3996;0.00189],(0.47555;0.63831]
(-0.3700;-0.0020],(0.77912;1.16282],(-0.7498;-0.3595],<=-1.1817,(-0.7707;-0.3795],(-0.4033;-0.0038],(0.00127;0.40484],(-0.3996;0.00189],(0.78018;0.95069]
>1.19013,(0.77912;1.16282],(-0.7498;-0.3595],(0.38012;0.76013],(-1.1814;-0.7707],(-0.4033;-0.0038],(-1.1691;-0.7779],(-0.3996;0.00189],(0.78018;0.95069]
(-0.3700;-0.0020],(-0.7783;-0.4038],(0.79231;1.18567],(-1.1817;-0.7807],<=-1.1814,(0.38144;0.78158],>1.20075,(-0.3996;0.00189],<=0.47555
(0.79114;1.19013],(0.77912;1.16282],<=-1.1576,(0.38012;0.76013],(0.39702;0.79116],(-1.1967;-0.8022],(-0.3790;0.00127],(-0.3996;0.00189],>0.95069
(0.79114;1.19013],>1.16282,(-1.1576;-0.7498],(-1.1817;-0.7807],(0.39702;0.79116],<=-1.1967,(0.40484;0.79799],(-0.3996;0.00189],>0.95069
(-0.3700;-0.0020],(0.77912;1.16282],(0.42472;0.79231],(-0.4043;-0.0137],(0.79116;1.18320],(-0.4033;-0.0038],<=-1.1691,(-0.3996;0.00189],(0.78018;0.95069]
(-1.1603;-0.7714],(-0.0152;0.37491],(-1.1576;-0.7498],(-0.0137;0.38012],<=-1.1814,(0.38144;0.78158],<=-1.1691,(-0.3996;0.00189],(0.63831;0.78018]
<=-1.1603,<=-1.1748,(-0.3595;0.04127],(0.38012;0.76013],<=-1.1814,(-0.0038;0.38144],(0.79799;1.20075],(-0.3996;0.00189],(0.63831;0.78018]
(-1.1603;-0.7714],>1.16282,(-0.7498;-0.3595],(-0.4043;-0.0137],(-0.3795;0.00948],(-1.1967;-0.8022],(-0.7779;-0.3790],(-0.3996;0.00189],(0.78018;0.95069]
(-0.7714;-0.3700],(-0.0152;0.37491],(0.42472;0.79231],(-0.7807;-0.4043],<=-1.1814,>1.17947,(0.40484;0.79799],(-0.3996;0.00189],<=0.47555
(0.79114;1.19013],(-1.1748;-0.7783],<=-1.1576,(-0.0137;0.38012],<=-1.1814,(-0.0038;0.38144],(0.40484;0.79799],(-0.3996;0.00189],(0.47555;0.63831]
(0.40672;0.79114],(0.37491;0.77912],(-0.7498;-0.3595],(-0.4043;-0.0137],(-0.7707;-0.3795],(-0.8022;-0.4033],>1.20075,(-0.3996;0.00189],(0.63831;0.78018]
(-0.0020;0.40672],(-0.4038;-0.0152],(0.79231;1.18567],(0.76013;1.15350],(0.00948;0.39702],(0.78158;1.17947],>1.20075,(-0.3996;0.00189],(0.47555;0.63831]
(-1.1603;-0.7714],(0.37491;0.77912],(0.42472;0.79231],>1.15350,(-0.3795;0.00948],>1.17947,(0.00127;0.40484],(-0.3996;0.00189],(0.47555;0.63831]
(-1.1603;-0.7714],(-0.7783;-0.4038],(0.04127;0.42472],(-0.7807;-0.4043],<=-1.1814,(-0.8022;-0.4033],(-0.3790;0.00127],(-0.3996;0.00189],(0.63831;0.78018]
>1.19013,>1.16282,>1.18567,(-0.0137;0.38012],>1.18320,(-0.4033;-0.0038],(0.40484;0.79799],(-0.3996;0.00189],(0.47555;0.63831]
(-0.0020;0.40672],(0.37491;0.77912],(-0.7498;-0.3595],(-0.4043;-0.0137],>1.18320,(0.78158;1.17947],(-1.1691;-0.7779],(-0.3996;0.00189],>0.95069
>1.19013,(0.77912;1.16282],(0.79231;1.18567],<=-1.1817,>1.18320,(0.78158;1.17947],>1.20075,(-0.3996;0.00189],(0.47555;0.63831]
(-0.0020;0.40672],(-1.1748;-0.7783],(-1.1576;-0.7498],(-0.4043;-0.0137],(-0.7707;-0.3795],>1.17947,<=-1.1691,(-0.3996;0.00189],(0.63831;0.78018]
(-0.3700;-0.0020],>1.16282,(-0.7498;-0.3595],>1.15350,<=-1.1814,(0.78158;1.17947],(0.79799;1.20075],(-0.3996;0.00189],>0.95069
(0.40672;0.79114],(-1.1748;-0.7783],(0.42472;0.79231],(0.38012;0.76013],(-1.1814;-0.7707],<=-1.1967,(-0.7779;-0.3790],(-0.3996;0.00189],(0.63831;0.78018]
(0.40672;0.79114],(-1.1748;-0.7783],>1.18567,(-0.4043;-0.0137],>1.18320,(-0.0038;0.38144],>1.20075,(-0.3996;0.00189],<=0.47555
(-0.0020;0.40672],(0.37491;0.77912],>1.18567,>1.15350,<=-1.1814,<=-1.1967,(-0.7779;-0.3790],(-0.3996;0.00189],(0.63831;0.78018]
(0.79114;1.19013],>1.16282,(-0.3595;0.04127],>1.15350,<=-1.1814,(-0.0038;0.38144],(-0.7779;-0.3790],(-0.3996;0.00189],<=0.47555
(0.79114;1.19013],<=-1.1748,>1.18567,(-0.7807;-0.4043],(-0.7707;-0.3795],(0.78158;1.17947],(-1.1691;-0.7779],(-0.3996;0.00189],(0.47555;0.63831]
<=-1.1603,(-1.1748;-0.7783],(-0.7498;-0.3595],<=-1.1817,(0.79116;1.18320],(-0.0038;0.38144],(0.79799;1.20075],(-0.3996;0.00189],>0.95069
(-1.1603;-0.7714],(0.77912;1.16282],<=-1.1576,(-1.1817;-0.7807],>1.18320,(0.38144;0.78158],(-0.7779;-0.3790],(-0.3996;0.00189],>0.95069
(-0.3700;-0.0020],(-0.7783;-0.4038],<=-1.1576,(-1.1817;-0.7807],(-0.7707;-0.3795],(0.38144;0.78158],(-1.1691;-0.7779],(-0.3996;0.00189],(0.78018;0.95069]
(-0.3700;-0.0020],<=-1.1748,(0.42472;0.79231],>1.15350,(0.00948;0.39702],<=-1.1967,<=-1.1691,(-0.3996;0.00189],(0.63831;0.78018]
(-0.3700;-0.0020],(-0.4038;-0.0152],>1.18567,(-0.4043;-0.0137],(0.00948;0.39702],>1.17947,>1.20075,(-0.3996;0.00189],(0.47555;0.63831]
<=-1.1603,(-0.0152;0.37491],(0.04127;0.42472],(-1.1817;-0.7807],>1.18320,>1.17947,(0.79799;1.20075],(-0.3996;0.00189],(0.63831;0.78018]
>1.19013,(-1.1748;-0.7783],(0.42472;0.79231],<=-1.1817,>1.18320,(-1.1967;-0.8022],(0.00127;0.40484],(-0.3996;0.00189],(0.47555;0.63831]
<=-1.1603,>1.16282,(0.79231;1.18567],(-0.0137;0.38012],(0.39702;0.79116],(0.38144;0.78158],(-0.3790;0.00127],(-0.3996;0.00189],<=0.47555
(-0.3700;-0.0020],(-0.7783;-0.4038],(-1.1576;-0.7498],(-1.1817;-0.7807],(-0.3795;0.00948],(-0.8022;-0.4033],(0.40484;0.79799],(-0.3996;0.00189],>0.95069
(-0.3700;-0.0020],(-0.0152;0.37491],>1.18567,(0.76013;1.15350],(0.39702;0.79116],(-0.0038;0.38144],>1.20075,(-0.3996;0.00189],(0.47555;0.63831]
>1.19013,(-0.4038;-0.0152],(0.04127;0.42472],(0.76013;1.15350],(-0.3795;0.00948],>1.17947,(0.00127;0.40484],(-0.3996;0.00189],<=0.47555
>1.19013,>1.16282,>1.18567,(0.38012;0.76013],>1.18320,<=-1.1967,>1.20075,(-0.3996;0.00189],(0.63831;0.78018]
(-0.3700;-0.0020],(-0.0152;0.37491],(-0.3595;0.04127],>1.15350,(-1.1814;-0.7707],(-0.0038;0.38144],>1.20075,(-0.3996;0.00189],(0.47555;0.63831]
(-0.7714;-0.3700],>1.16282,(0.42472;0.79231],(0.76013;1.15350],(-1.1814;-0.7707],(-0.0038;0.38144],<=-1.1691,(-0.3996;0.00189],(0.63831;0.78018]
(-0.7714;-0.3700],(0.37491;0.77912],(-1.1576;-0.7498],(0.76013;1.15350],(-0.3795;0.00948],<=-1.1967,(0.79799;1.20075],(-0.3996;0.00189],(0.78018;0.95069]
(-0.0020;0.40672],(-0.0152;0.37491],(-0.3595;0.04127],>1.15350,>1.18320,(0.38144;0.78158],(0.00127;0.40484],(-0.3996;0.00189],(0.63831;0.78018]
(0.40672;0.79114],(-0.4038;-0.0152],(0.79231;1.18567],(0.38012;0.76013],(0.79116;1.18320],(-0.8022;-0.4033],(0.40484;0.79799],(-0.3996;0.00189],(0.47555;0.63831]
(0.79114;1.19013],>1.16282,(-0.7498;-0.3595],(-0.0137;0.38012],(0.00948;0.39702],(-0.4033;-0.0038],(-0.7779;-0.3790],(-0.3996;0.00189],>0.95069
(-0.3700;-0.0020],(0.37491;0.77912],(0.79231;1.18567],<=-1.1817,(0.39702;0.79116],(0.38144;0.78158],(0.40484;0.79799],(-0.3996;0.00189],(0.63831;0.78018]
>1.19013,(-1.1748;-0.7783],>1.18567,(0.38012;0.76013],(0.00948;0.39702],>1.17947,(0.00127;0.40484],(-0.3996;0.00189],(0.47555;0.63831]
(-0.7714;-0.3700],(-0.0152;0.37491],<=-1.1576,(0.76013;1.15350],(0.00948;0.39702],>1.17947,<=-1.1691,(-0.3996;0.00189],(0.78018;0.95069]
>1.19013,(-0.4038;-0.0152],<=-1.1576,(-0.7807;-0.4043],(0.00948;0.39702],<=-1.1967,(-0.7779;-0.3790],(-0.3996;0.00189],(0.78018;0.95069]
>1.19013,<=-1.1748,(0.42472;0.79231],(-0.7807;-0.4043],(0.79116;1.18320],(0.38144;0.78158],(0.40484;0.79799],(-0.3996;0.00189],(0.63831;0.78018]
>1.19013,(0.37491;0.77912],<=-1.1576,(-0.0137;0.38012],(0.00948;0.39702],(-0.8022;-0.4033],(-1.1691;-0.7779],(-0.3996;0.00189],(0.78018;0.95069]
(-1.1603;-0.7714],(-1.1748;-0.7783],(0.04127;0.42472],<=-1.1817,(-0.3795;0.00948],(0.78158;1.17947],(0.40484;0.79799],(-0.3996;0.00189],>0.95069
(-0.0020;0.40672],(-1.1748;-0.7783],(0.04127;0.42472],(-0.4043;-0.0137],(0.00948;0.39702],>1.17947,(-0.3790;0.00127],(-0.3996;0.00189],(0.47555;0.63831]
(-0.3700;-0.0020],<=-1.1748,<=-1.1576,(0.76013;1.15350],(-0.3795;0.00948],(0.38144;0.78158],(-0.7779;-0.3790],(-0.3996;0.00189],(0.78018;0.95069]
(-0.7714;-0.3700],(0.37491;0.77912],(0.79231;1.18567],<=-1.1817,(0.00948;0.39702],(-0.4033;-0.0038],(-0.7779;-0.3790],(-0.3996;0.00189],(0.78018;0.95069]
(-0.3700;-0.0020],(-0.4038;-0.0152],<=-1.1576,(0.38012;0.76013],(-1.1814;-0.7707],(-0.0038;0.38144],(-0.3790;0.00127],(-0.3996;0.00189],(0.47555;0.63831]
(0.79114;1.19013],(-0.0152;0.37491],(0.42472;0.79231],(0.76013;1.15350],(-0.7707;-0.3795],(0.78158;1.17947],(0.00127;0.40484],(-0.3996;0.00189],<=0.47555
(0.40672;0.79114],>1.16282,>1.18567,(-0.4043;-0.0137],(0.79116;1.18320],<=-1.1967,>1.20075,(-0.3996;0.00189],(0.63831;0.78018]
(-0.0020;0.40672],(-0.0152;0.37491],(0.42472;0.79231],(-0.7807;-0.4043],>1.18320,>1.17947,(-0.3790;0.00127],(-0.3996;0.00189],(0.47555;0.63831]
(-0.0020;0.40672],(-0.4038;-0.0152],(0.04127;0.42472],(-0.7807;-0.4043],(0.00948;0.39702],>1.17947,<=-1.1691,(-0.3996;0.00189],(0.78018;0.95069]
(0.79114;1.19013],(0.77912;1.16282],>1.18567,(-1.1817;-0.7807],(-0.3795;0.00948],<=-1.1967,(0.00127;0.40484],(-0.3996;0.00189],(0.47555;0.63831]
(0.79114;1.19013],(-1.1748;-0.7783],(-1.1576;-0.7498],(-0.4043;-0.0137],(0.79116;1.18320],(0.78158;1.17947],(0.00127;0.40484],(-0.3996;0.00189],>0.95069
(0.40672;0.79114],(0.37491;0.77912],(0.04127;0.42472],(0.76013;1.15350],(0.00948;0.39702],(-0.8022;-0.4033],(0.00127;0.40484],(-0.3996;0.00189],(0.78018;0.95069]
(-0.7714;-0.3700],>1.16282,(-0.7498;-0.3595],(-0.4043;-0.0137],(-0.3795;0.00948],(0.38144;0.78158],<=-1.1691,(-0.3996;0.00189],(0.78018;0.95069]
>1.19013,(0.77912;1.16282],(-0.7498;-0.3595],(0.38012;0.76013],(0.00948;0.39702],>1.17947,(0.40484;0.79799],(-0.3996;0.00189],(0.47555;0.63831]
<=-1.1603,(0.77912;1.16282],(0.79231;1.18567],(-0.4043;-0.0137],(0.79116;1.18320],(-0.8022;-0.4033],(-0.7779;-0.3790],(-0.3996;0.00189],(0.78018;0.95069]
(-0.0020;0.40672],(0.37491;0.77912],>1.18567,(-0.0137;0.38012],<=-1.1814,(0.78158;1.17947],(0.00127;0.40484],(-0.3996;0.00189],<=0.47555
(-0.7714;-0.3700],(-0.0152;0.37491],(-0.7498;-0.3595],(-0.0137;0.38012],(-1.1814;-0.7707],(-1.1967;-0.8022],(0.79799;1.20075],(-0.3996;0.00189],(0.47555;0.63831]
(-0.7714;-0.3700],<=-1.1748,<=-1.1576,(-0.0137;0.38012],(-0.7707;-0.3795],>1.17947,(-0.3790;0.00127],(-0.3996;0.00189],(0.78018;0.95069]
<=-1.1603,(0.77912;1.16282],(-0.7498;-0.3595],>1.15350,(0.00948;0.39702],(-0.8022;-0.4033],(-0.3790;0.00127],(-0.3996;0.00189],>0.95069
<=-1.1603,(0.77912;1.16282],<=-1.1576,(-0.0137;0.38012],(0.00948;0.39702],<=-1.1967,(-1.1691;-0.7779],(-0.3996;0.00189],>0.95069
(-0.0020;0.40672],<=-1.1748,>1.18567,(-0.7807;-0.4043],(0.79116;1.18320],(-1.1967;-0.8022],(-0.7779;-0.3790],(-0.3996;0.00189],(0.63831;0.78018]
(-0.7714;-0.3700],>1.16282,(0.42472;0.79231],(-0.7807;-0.4043],(0.39702;0.79116],(-0.0038;0.38144],<=-1.1691,(-0.3996;0.00189],(0.78018;0.95069]
(-0.3700;-0.0020],(-0.7783;-0.4038],(0.04127;0.42472],(-1.1817;-0.7807],(0.00948;0.39702],<=-1.1967,(0.00127;0.40484],(-0.3996;0.00189],(0.78018;0.95069]
(-0.7714;-0.3700],(0.37491;0.77912],>1.18567,(-1.1817;-0.7807],(-0.7707;-0.3795],>1.17947,(0.00127;0.40484],(-0.3996;0.00189],(0.47555;0.63831]
(-1.1603;-0.7714],>1.16282,>1.18567,>1.15350,<=-1.1814,(-0.4033;-0.0038],(0.00127;0.40484],(-0.3996;0.00189],<=0.47555
>1.19013,(-0.0152;0.37491],(-1.1576;-0.7498],(-0.4043;-0.0137],(0.39702;0.79116],(0.38144;0.78158],(0.79799;1.20075],(-0.3996;0.00189],(0.63831;0.78018]
>1.19013,(0.77912;1.16282],<=-1.1576,<=-1.1817,>1.18320,(-1.1967;-0.8022],(-0.7779;-0.3790],(-0.3996;0.00189],>0.95069
<=-1.1603,(-0.7783;-0.4038],(0.04127;0.42472],(-0.0137;0.38012],(-0.3795;0.00948],(-0.4033;-0.0038],(-0.3790;0.00127],(-0.3996;0.00189],(0.78018;0.95069]
(0.40672;0.79114],(0.77912;1.16282],(0.79231;1.18567],(0.38012;0.76013],<=-1.1814,(0.38144;0.78158],(-0.3790;0.00127],(-0.3996;0.00189],<=0.47555
(-1.1603;-0.7714],<=-1.1748,(-0.3595;0.04127],>1.15350,(-1.1814;-0.7707],(-0.0038;0.38144],(-1.1691;-0.7779],(-0.3996;0.00189],(0.63831;0.78018]
(0.40672;0.79114],(-0.7783;-0.4038],(0.42472;0.79231],(-0.7807;-0.4043],(-1.1814;-0.7707],(-0.8022;-0.4033],<=-1.1691,(-0.3996;0.00189],(0.47555;0.63831]
<=-1.1603,(-0.7783;-0.4038],(0.79231;1.18567],(0.38012;0.76013],(-0.3795;0.00948],(-1.1967;-0.8022],(0.40484;0.79799],(-0.3996;0.00189],(0.78018;0.95069]
(-0.0020;0.40672],(-1.1748;-0.7783],(0.42472;0.79231],(-0.7807;-0.4043],(0.79116;1.18320],<=-1.1967,(-0.3790;0.00127],(-0.3996;0.00189],(0.63831;0.78018]
(-0.0020;0.40672],(0.37491;0.77912],(0.42472;0.79231],(-0.7807;-0.4043],<=-1.1814,(0.38144;0.78158],(-0.3790;0.00127],(-0.3996;0.00189],<=0.47555
(-0.7714;-0.3700],(0.37491;0.77912],(-0.7498;-0.3595],(0.76013;1.15350],(0.39702;0.79116],(-1.1967;-0.8022],>1.20075,(-0.3996;0.00189],(0.78018;0.95069]
(0.79114;1.19013],(-0.4038;-0.0152],(-1.1576;-0.7498],(-1.1817;-0.7807],(0.79116;1.18320],(-0.4033;-0.0038],(-0.3790;0.00127],(-0.3996;0.00189],>0.95069
(0.79114;1.19013],(-0.4038;-0.0152],(-1.1576;-0.7498],(-0.4043;-0.0137],>1.18320,(-0.8022;-0.4033],(0.40484;0.79799],(-0.3996;0.00189],>0.95069
(-0.3700;-0.0020],(-0.0152;0.37491],(-0.7498;-0.3595],<=-1.1817,>1.18320,<=-1.1967,(-1.1691;-0.7779],(-0.3996;0.00189],<=0.47555
(0.79114;1.19013],(-1.1748;-0.7783],(-0.3595;0.04127],(-0.0137;0.38012],>1.18320,(0.78158;1.17947],>1.20075,(-0.3996;0.00189],<=0.47555
(-0.7714;-0.3700],(-0.4038;-0.0152],(-1.1576;-0.7498],(-0.4043;-0.0137],<=-1.1814,(-0.4033;-0.0038],(-0.3790;0.00127],(-0.3996;0.00189],(0.47555;0.63831]
(-0.0020;0.40672],<=-1.1748,(-0.7498;-0.3595],>1.15350,(-1.1814;-0.7707],(0.78158;1.17947],>1.20075,(-0.3996;0.00189],(0.78018;0.95069]
<=-1.1603,(0.37491;0.77912],(0.04127;0.42472],(-0.4043;-0.0137],(0.39702;0.79116],<=-1.1967,(0.40484;0.79799],(-0.3996;0.00189],>0.95069
(0.79114;1.19013],<=-1.1748,(0.42472;0.79231],<=-1.1817,(0.79116;1.18320],(0.38144;0.78158],(0.40484;0.79799],(-0.3996;0.00189],(0.78018;0.95069]
(0.40672;0.79114],(-1.1748;-0.7783],<=-1.1576,(-0.4043;-0.0137],<=-1.1814,(0.78158;1.17947],(0.40484;0.79799],(-0.3996;0.00189],>0.95069
<=-1.1603,(-0.7783;-0.4038],(0.04127;0.42472],(-0.7807;-0.4043],(-0.3795;0.00948],(-0.4033;-0.0038],(-0.7779;-0.3790],(-0.3996;0.00189],>0.95069
<=-1.1603,(0.37491;0.77912],(-1.1576;-0.7498],(-0.4043;-0.0137],(0.39702;0.79116],(-0.0038;0.38144],(-1.1691;-0.7779],(-0.3996;0.00189],>0.95069
(-0.7714;-0.3700],(-0.0152;0.37491],(0.79231;1.18567],(-0.7807;-0.4043],(0.00948;0.39702],(-0.4033;-0.0038],<=-1.1691,(-0.3996;0.00189],(0.63831;0.78018]
(-0.7714;-0.3700],(-0.7783;-0.4038],(-0.3595;0.04127],(0.76013;1.15350],(0.39702;0.79116],(-0.8022;-0.4033],(0.40484;0.79799],(-0.3996;0.00189],(0.78018;0.95069]
(-0.3700;-0.0020],>1.16282,(-1.1576;-0.7498],(0.38012;0.76013],(0.00948;0.39702],<=-1.1967,(0.40484;0.79799],(-0.3996;0.00189],(0.78018;0.95069]
(-0.3700;-0.0020],(-1.1748;-0.7783],(0.42472;0.79231],(-1.1817;-0.7807],(-1.1814;-0.7707],(-0.4033;-0.0038],(-0.7779;-0.3790],(-0.3996;0.00189],(0.63831;0.78018]
<=-1.1603,(-0.7783;-0.4038],(-0.7498;-0.3595],>1.15350,(-0.3795;0.00948],(-0.8022;-0.4033],<=-1.1691,(-0.3996;0.00189],>0.95069
>1.19013,(-0.0152;0.37491],(-0.3595;0.04127],(0.38012;0.76013],(-1.1814;-0.7707],>1.17947,(-1.1691;-0.7779],(-0.3996;0.00189],<=0.47555
(-0.0020;0.40672],<=-1.1748,>1.18567,>1.15350,>1.18320,(-0.4033;-0.0038],(-0.3790;0.00127],(-0.3996;0.00189],<=0.47555
(-0.3700;-0.0020],(0.37491;0.77912],(0.79231;1.18567],(-0.7807;-0.4043],(0.79116;1.18320],(-1.1967;-0.8022],>1.20075,(-0.3996;0.00189],(0.63831;0.78018]
(-1.1603;-0.7714],(0.37491;0.77912],>1.18567,(-1.1817;-0.7807],>1.18320,(-0.0038;0.38144],(0.79799;1.20075],(-0.3996;0.00189],<=0.47555
(-0.7714;-0.3700],>1.16282,(0.79231;1.18567],(-0.0137;0.38012],(0.39702;0.79116],(-0.8022;-0.4033],(0.00127;0.40484],(-0.3996;0.00189],(0.63831;0.78018]
(0.40672;0.79114],(0.77912;1.16282],(-0.3595;0.04127],(-0.7807;-0.4043],(0.39702;0.79116],(-0.0038;0.38144],(0.79799;1.20075],(-0.3996;0.00189],(0.63831;0.78018]
(-0.0020;0.40672],<=-1.1748,(-1.1576;-0.7498],<=-1.1817,(0.00948;0.39702],>1.17947,(0.00127;0.40484],(-0.3996;0.00189],(0.78018;0.95069]
(-0.3700;-0.0020],(0.77912;1.16282],>1.18567,>1.15350,<=-1.1814,(-0.8022;-0.4033],>1.20075,(-0.3996;0.00189],<=0.47555
